Invoice No.,Invoice Date,Due Date,Customer Name,Service Description,Amount (AED),Payment Status,VAT TRN,VAT %,Paid Date,Status,summary
AR-1001,2025-10-05,2025-12-10,Alpha Trading LLC,IT Consulting Services,12500,Paid,TRN12345,5,2025-12-09,paid,"Invoice record: Invoice No. AR-1001, issued on 2025-10-05, from Alpha Trading LLC for IT Consulting Services. The original amount is 12500 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN12345 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-10 and paid date recorded as 2025-12-09. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1003,2025-10-12,2025-12-15,Orion Logistics LLC,Freight Forwarding,45200,Paid,TRN34567,5,2025-12-02,paid,"Invoice record: Invoice No. AR-1003, issued on 2025-10-12, from Orion Logistics LLC for Freight Forwarding. The original amount is 45200 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN34567 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-15 and paid date recorded as 2025-12-02. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1005,2025-10-18,2026-01-08,Zenith Constructions,Civil Works,15600,Not paid,TRN56789,5,,future (20 days remaining),"Invoice record: Invoice No. AR-1005, issued on 2025-10-18, from Zenith Constructions for Civil Works. The original amount is 15600 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN56789 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-08 and paid date recorded as nan. Status: future (20 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1007,2025-10-22,2025-12-20,Alpha Trading LLC,Software License Renewal,17400,Paid,TRN12345,5,2025-12-11,paid,"Invoice record: Invoice No. AR-1007, issued on 2025-10-22, from Alpha Trading LLC for Software License Renewal. The original amount is 17400 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN12345 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-20 and paid date recorded as 2025-12-11. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1009,2025-10-28,2025-12-12,Orion Logistics LLC,Warehousing Services,21500,Not paid,TRN34567,5,,overdue (7 days ago),"Invoice record: Invoice No. AR-1009, issued on 2025-10-28, from Orion Logistics LLC for Warehousing Services. The original amount is 21500 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN34567 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2025-12-12 and paid date recorded as nan. Status: overdue (7 days ago). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1051,2025-12-26,2026-01-18,Nova Tech Solutions,AI System Integration,28500,Not paid,TRN77881,5,,future (30 days remaining),"Invoice record: Invoice No. AR-1051, issued on 2025-12-26, from Nova Tech Solutions for AI System Integration. The original amount is 28500 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN77881 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-18 and paid date recorded as nan. Status: future (30 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1059,2025-12-26,2026-01-15,Skyline Infrastructure LLC,Structural Safety Inspection,31500,Not paid,TRN88992,5,,future (27 days remaining),"Invoice record: Invoice No. AR-1059, issued on 2025-12-26, from Skyline Infrastructure LLC for Structural Safety Inspection. The original amount is 31500 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN88992 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-15 and paid date recorded as nan. Status: future (27 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1065,2025-12-29,2026-01-02,Skyline Infrastructure LLC,Building Energy Audit,20300,Not paid,TRN88992,5,,future (14 days remaining),"Invoice record: Invoice No. AR-1065, issued on 2025-12-29, from Skyline Infrastructure LLC for Building Energy Audit. The original amount is 20300 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN88992 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-02 and paid date recorded as nan. Status: future (14 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1053,2025-12-27,2026-01-10,Nova Tech Solutions,Cybersecurity Audit,19800,Not paid,TRN77881,5,,future (22 days remaining),"Invoice record: Invoice No. AR-1053, issued on 2025-12-27, from Nova Tech Solutions for Cybersecurity Audit. The original amount is 19800 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN77881 with a VAT rate of 5%. The payment status is 'Not paid', with a due date of 2026-01-10 and paid date recorded as nan. Status: future (22 days remaining). Discount applied:  (Note: ). Penalty applied:  (Note: )."
AR-1011,2025-11-02,2025-12-25,Zenith Constructions,Interior Fit-out,13200,Paid,TRN56789,5,2025-12-14,paid,"Invoice record: Invoice No. AR-1011, issued on 2025-11-02, from Zenith Constructions for Interior Fit-out. The original amount is 13200 AED. Final amount with penalty is  AED, and final amount with discount is  AED. The VAT TRN is TRN56789 with a VAT rate of 5%. The payment status is 'Paid', with a due date of 2025-12-25 and paid date recorded as 2025-12-14. Status: paid. Discount applied:  (Note: ). Penalty applied:  (Note: )."
