Invoice No.,Invoice Date,Due Date,Customer Name,Service Description,Amount (AED),Payment Status,VAT TRN,VAT %,Paid Date,Notes
INV-1001,2025-07-05,2025-09-10,Alpha Trading LLC,IT Consulting Services,12500,Paid,TRN12345,5,2025-09-09,
INV-1002,2025-07-10,2025-10-05,Beta Electronics FZC,Hardware Supply,7800,Not paid,TRN23456,5,,
INV-1003,2025-07-12,2025-09-15,Orion Logistics LLC,Freight Forwarding,45200,Overdue,TRN34567,5,,
INV-1004,2025-07-15,2025-09-18,Delta Foods Co.,Catering Services,2300,Paid,TRN45678,5,2025-09-17,
INV-1005,2025-07-18,2025-10-08,Zenith Constructions,Civil Works,15600,Not paid,TRN56789,5,,
INV-1006,2025-07-20,2025-09-12,Omega Pharma Ltd,Pharmaceutical Supply,9800,Overdue,TRN67890,5,,
INV-1007,2025-07-22,2025-09-20,Alpha Trading LLC,Software License Renewal,17400,Paid,TRN12345,5,2025-09-19,
INV-1008,2025-07-25,2025-10-02,Beta Electronics FZC,Network Equipment,6200,Not paid,TRN23456,5,,
INV-1009,2025-07-28,2025-09-16,Orion Logistics LLC,Warehousing Services,21500,Overdue,TRN34567,5,,
INV-1010,2025-07-30,2025-09-22,Delta Foods Co.,Office Pantry Supply,8800,Paid,TRN45678,5,2025-09-21,
INV-1011,2025-08-02,2025-09-25,Zenith Constructions,Interior Fit-out,13200,Paid,TRN56789,5,2025-09-24,
INV-1012,2025-08-04,2025-10-12,Omega Pharma Ltd,Lab Consumables,9800,Not paid,TRN67890,5,,
INV-1013,2025-08-06,2025-09-08,Alpha Trading LLC,Annual Maintenance Contract,45000,Overdue,TRN12345,5,,
INV-1014,2025-08-08,2025-09-23,Beta Electronics FZC,Server Installation,2500,Paid,TRN23456,5,2025-09-22,
INV-1015,2025-08-10,2025-10-03,Orion Logistics LLC,Cross-Border Shipping,15800,Not paid,TRN34567,5,,
INV-1016,2025-08-12,2025-09-14,Delta Foods Co.,Cafeteria Services,10400,Overdue,TRN45678,5,,
INV-1017,2025-08-14,2025-09-19,Zenith Constructions,Building Maintenance,17600,Paid,TRN56789,5,2025-09-18,
INV-1018,2025-08-16,2025-10-01,Omega Pharma Ltd,Medical Devices,6400,Not paid,TRN67890,5,,
INV-1019,2025-08-18,2025-09-11,Alpha Trading LLC,Staff Training Program,22000,Overdue,TRN12345,5,,
INV-1020,2025-08-20,2025-09-26,Beta Electronics FZC,Cloud Subscription,9000,Paid,TRN23456,5,2025-09-25,
INV-1021,2025-08-22,2025-09-21,Orion Logistics LLC,Cold Chain Delivery,13000,Paid,TRN34567,5,2025-09-20,
INV-1022,2025-08-24,2025-10-06,Delta Foods Co.,Corporate Event Catering,9700,Not paid,TRN45678,5,,
INV-1023,2025-08-26,2025-09-09,Zenith Constructions,Project Supervision,46000,Overdue,TRN56789,5,,
INV-1024,2025-08-28,2025-09-25,Omega Pharma Ltd,Generic Medicines Supply,2600,Paid,TRN67890,5,2025-09-24,
INV-1025,2025-09-02,2025-10-04,Alpha Trading LLC,Security Services,16000,Not paid,TRN12345,5,,
INV-1026,2025-09-04,2025-09-15,Beta Electronics FZC,Software Deployment,10500,Overdue,TRN23456,5,,
INV-1027,2025-09-06,2025-09-19,Orion Logistics LLC,Customs Clearance,17800,Paid,TRN34567,5,2025-09-18,
